"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Algeria","DZA","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4272717","5676489","1888488","1666312","2440222","4596669","2303648","15510125","21221581","3383607","6421476","11944911","6720100","9039068","10642822","6607471","8441609","4418241","5141641","2407114","2028775","3152281","3308544","2449466","4758110","8180790","",
"East Asia & Pacific (excluding high income)","EAP","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","708878473915","","","","","",
"Early-demographic dividend","EAR","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72784827763","65229351726","66765515755","67911900666","76681608785","79384519978","86285033711","83844429331","87436555642","83088857947","85280660611","94633588288","101184528087","108737610735","115067488837","110895481335","109857743067","","",
"East Asia & Pacific","EAS","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","901690537421","960938553452","1022121230689","1086062505005","1094675808941","1065698317189","","","",
"Europe & Central Asia (excluding high income)","ECA","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4011160309","4140652557","6370916500","5791661783","6916656882","8657403148","9470831692","7644487615","9408736237","11030732742","14722002095","13432213264","16499697981","18903711167","20384357565","21518933629","23265480606","22071615426","18667093588","22876530320","",
"Europe & Central Asia","ECS","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","279729752321","306918455314","337036115504","373899522434","414781998880","410790423872","413986882610","454763018341","538262596175","586027098023","668400168608","603433216570","640840840308","556544432444","631913695344","720505529303","712428691852","749758166444","772369511244","707227266353","715802253915","660476785132","",
"Ecuador","ECU","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","201282","659521","4102221","7628619","10485267","19948986","18314225","20300400","19706691","25025315","26765851","25378146","34604215","41110871","48764989","64252235","96213183","72954851","68174873","51244801","144508135","56609383","52230657","71780677","74240721","97006477","103936492","83667672","60327497",
"Egypt, Arab Rep.","EGY","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5575423","7444650","7202642","4320820","3125918","3458267","5590915","12214874","12779142","10008085","13508500","10122569","15833587","5729500","91898811","85283582","96228883","128064020","74587997","70412348","176345548","88390406","52091847","72073329","125000836",
"Euro area","EMU","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","128595712597","122404057509","141370982120","179064842384","187377110786","204775947886","226693642423","258365019114","287813011857","286705618517","280147401347","318963291858","382698463558","412242348926","446563919936","429639147203","448626471717","391492098116","440124476469","497329477327","498133523681","526932105382","540515576355","487267230997","498913161570","469661051463","",
"Eritrea","ERI","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49","312450","","","","","","","","","","","","","","","",
